|ROW|COL|Value
26|ABW_LG01|ABW_A07|573.536
27|ABW_LG02|ABW_A07|-1.774
28|ABW_LH01|ABW_A07|37341.4
29|ABW_LK01|ABW_A07|19765.2
30|ABW_LK02|ABW_A07|2735.01
31|ABW_LK03|ABW_A07|9944.63
32|Imp_A01|ABW_A07|5185.579
33|Imp_A02|ABW_A07|731.686
34|Imp_A03|ABW_A07|93102.47200000001
35|Imp_A04|ABW_A07|5165.947999999999
36|Imp_A05|ABW_A07|3791.374
37|Imp_A06|ABW_A07|3293.479
38|Imp_A07|ABW_A07|98168.13
39|Imp_A08|ABW_A07|6686.463
40|Imp_A09|ABW_A07|15506.97
41|Imp_A10|ABW_A07|1566.818
42|Imp_A11|ABW_A07|1546.405
43|Imp_A12|ABW_A07|1280.389
44|Imp_A13|ABW_A07|658.226
45|Imp_A14|ABW_A07|1350.407
46|Imp_A15|ABW_A07|846.839
47|Imp_A16|ABW_A07|1200.793
48|Imp_A17|ABW_A07|1567.639
49|Imp_A18|ABW_A07|2497.846
50|Imp_A19|ABW_A07|2061.488
51|Imp_A20|ABW_A07|1859.197
52|Imp_A21|ABW_A07|11318.836
53|Imp_A22|ABW_A07|1066.757
54|Imp_A23|ABW_A07|2712.726
55|Imp_A24|ABW_A07|820.687
56|Imp_A25|ABW_A07|309.93899999999996
57|Imp_A26|ABW_A07|38623.74599999999
58|Imp_ZL0008|ABW_A07|8.827
59|Imp_ZLR1|ABW_A07|0.0
0|ABW_A01|ABW_A08|0.188
1|ABW_A02|ABW_A08|0.895
2|ABW_A03|ABW_A08|100.383
3|ABW_A04|ABW_A08|0.33
4|ABW_A05|ABW_A08|8.115
5|ABW_A06|ABW_A08|75.339
6|ABW_A07|ABW_A08|90.349
7|ABW_A08|ABW_A08|4.954
8|ABW_A09|ABW_A08|104.546
9|ABW_A10|ABW_A08|3.415
10|ABW_A11|ABW_A08|23.235
11|ABW_A12|ABW_A08|151.403
12|ABW_A13|ABW_A08|767.762
13|ABW_A14|ABW_A08|138.245
14|ABW_A15|ABW_A08|12.881
15|ABW_A16|ABW_A08|930.445
16|ABW_A17|ABW_A08|20.957
17|ABW_A18|ABW_A08|184.352
18|ABW_A19|ABW_A08|191.943
19|ABW_A20|ABW_A08|74.567
20|ABW_A21|ABW_A08|1603.34
21|ABW_A22|ABW_A08|2.322
22|ABW_A23|ABW_A08|43.145
23|ABW_A24|ABW_A08|0.115
24|ABW_A25|ABW_A08|9.061
25|ABW_A26|ABW_A08|0.326
26|ABW_LG01|ABW_A08|14.861
27|ABW_LG02|ABW_A08|-12.44
28|ABW_LH01|ABW_A08|2729.21
29|ABW_LK01|ABW_A08|604.726
30|ABW_LK02|ABW_A08|129.531
31|ABW_LK03|ABW_A08|390.864
32|Imp_A01|ABW_A08|939.389
33|Imp_A02|ABW_A08|334.015
34|Imp_A03|ABW_A08|2795.544
35|Imp_A04|ABW_A08|843.792
36|Imp_A05|ABW_A08|519.325
37|Imp_A06|ABW_A08|715.897
38|Imp_A07|ABW_A08|3990.884
39|Imp_A08|ABW_A08|17808.945
40|Imp_A09|ABW_A08|4169.5419999999995
41|Imp_A10|ABW_A08|552.223
42|Imp_A11|ABW_A08|463.594
43|Imp_A12|ABW_A08|2028.532
44|Imp_A13|ABW_A08|340.056
45|Imp_A14|ABW_A08|463.308
46|Imp_A15|ABW_A08|263.822
47|Imp_A16|ABW_A08|395.96
48|Imp_A17|ABW_A08|535.499
49|Imp_A18|ABW_A08|417.50100000000003
50|Imp_A19|ABW_A08|658.92
51|Imp_A20|ABW_A08|501.938
52|Imp_A21|ABW_A08|1775.814
53|Imp_A22|ABW_A08|365.445
54|Imp_A23|ABW_A08|844.162
55|Imp_A24|ABW_A08|263.731
56|Imp_A25|ABW_A08|165.013
57|Imp_A26|ABW_A08|4363.508
58|Imp_ZL0008|ABW_A08|-12.249
59|Imp_ZLR1|ABW_A08|0.0
0|ABW_A01|ABW_A09|0.167
1|ABW_A02|ABW_A09|0.865
2|ABW_A03|ABW_A09|4.13
3|ABW_A04|ABW_A09|0.722
4|ABW_A05|ABW_A09|62.945
5|ABW_A06|ABW_A09|230.544
6|ABW_A07|ABW_A09|436.327
7|ABW_A08|ABW_A09|526.778
8|ABW_A09|ABW_A09|9.843
9|ABW_A10|ABW_A09|85.856
10|ABW_A11|ABW_A09|98.259
11|ABW_A12|ABW_A09|4.011
12|ABW_A13|ABW_A09|633.274
13|ABW_A14|ABW_A09|171.468
14|ABW_A15|ABW_A09|47.222
15|ABW_A16|ABW_A09|3176.35
16|ABW_A17|ABW_A09|124.927
17|ABW_A18|ABW_A09|265.484
18|ABW_A19|ABW_A09|270.494
19|ABW_A20|ABW_A09|414.169
20|ABW_A21|ABW_A09|6003.54
21|ABW_A22|ABW_A09|2.848
22|ABW_A23|ABW_A09|91.664
23|ABW_A24|ABW_A09|0.107
24|ABW_A25|ABW_A09|18.419
25|ABW_A26|ABW_A09|0.314
26|ABW_LG01|ABW_A09|13.153
27|ABW_LG02|ABW_A09|-22.056
28|ABW_LH01|ABW_A09|3797.34
29|ABW_LK01|ABW_A09|929.337
30|ABW_LK02|ABW_A09|183.956
31|ABW_LK03|ABW_A09|607.658
32|Imp_A01|ABW_A09|767.6270000000001
33|Imp_A02|ABW_A09|272.591
34|Imp_A03|ABW_A09|565.94
35|Imp_A04|ABW_A09|619.23
36|Imp_A05|ABW_A09|687.397
37|Imp_A06|ABW_A09|660.558
38|Imp_A07|ABW_A09|4035.484
39|Imp_A08|ABW_A09|8458.568
40|Imp_A09|ABW_A09|51408.884
41|Imp_A10|ABW_A09|2205.139
42|Imp_A11|ABW_A09|843.635
43|Imp_A12|ABW_A09|247.011
44|Imp_A13|ABW_A09|264.815
45|Imp_A14|ABW_A09|341.013
46|Imp_A15|ABW_A09|196.332
47|Imp_A16|ABW_A09|301.653
48|Imp_A17|ABW_A09|425.44800000000004
49|Imp_A18|ABW_A09|312.174
50|Imp_A19|ABW_A09|601.089
51|Imp_A20|ABW_A09|737.383
52|Imp_A21|ABW_A09|2478.268
53|Imp_A22|ABW_A09|270.779
54|Imp_A23|ABW_A09|658.0840000000001
